email_text,category
When will I receive my bonus?,HR
Can you tell me my leave balance?,HR
I need to update my bank details for salary.,HR
Is there a PF deduction for contract employees?,HR
How do I apply for maternity leave?,HR
Can you share the holiday calendar for this year?,HR
Please guide me on performance appraisal.,HR
Can I carry forward my unused leaves?,HR
Is there a policy for remote working?,HR
I want to update my home address in records.,HR
Is there a policy for remote working?,HR
When will I receive my bonus?,HR
Is there any internal job posting this month?,HR
Please share the payslip for last month.,HR
What are the guidelines for dress code?,HR
I would like to schedule a meeting with HR.,HR
Is there a PF deduction for contract employees?,HR
Can I convert casual leave to sick leave?,HR
Is there a referral policy for hiring?,HR
Can I convert casual leave to sick leave?,HR
I want to participate in HR activities.,HR
Is there a PF deduction for contract employees?,HR
Can I carry forward my unused leaves?,HR
Can I get a copy of my experience letter?,HR
Please share the payslip for last month.,HR
Can I change my manager in the system?,HR
Can you share the holiday calendar for this year?,HR
What is the notice period for resignation?,HR
I want to participate in HR activities.,HR
Can I carry forward my unused leaves?,HR
What is the notice period for resignation?,HR
What is the notice period for resignation?,HR
Can I convert casual leave to sick leave?,HR
What are the guidelines for dress code?,HR
Can I change my manager in the system?,HR
I would like to apply for a sick leave for tomorrow.,HR
I need a letter for address proof.,HR
Can you tell me my leave balance?,HR
I want to update my home address in records.,HR
Can I change my manager in the system?,HR
How do I claim health insurance?,HR
My salary has not been credited.,HR
I want to participate in HR activities.,HR
I need a letter for address proof.,HR
Please share the payslip for last month.,HR
Please confirm my attendance for last week.,HR
Can I get a copy of my experience letter?,HR
What are the guidelines for dress code?,HR
Can you tell me my leave balance?,HR
I need to update my bank details for salary.,HR
How do I apply for maternity leave?,HR
Please guide me on performance appraisal.,HR
What are the guidelines for dress code?,HR
Can you tell me my leave balance?,HR
My salary has not been credited.,HR
Please update my emergency contact number.,HR
Is there a referral policy for hiring?,HR
Can I change my shift timing?,HR
I want to update my home address in records.,HR
Can I get a copy of my experience letter?,HR
I want to update my home address in records.,HR
What are the leave policies for new employees?,HR
Can I get a copy of my experience letter?,HR
Please guide me on performance appraisal.,HR
How do I claim health insurance?,HR
Please confirm my attendance for last week.,HR
I would like to apply for a sick leave for tomorrow.,HR
Is there a policy for remote working?,HR
Can I change my shift timing?,HR
I would like to schedule a meeting with HR.,HR
Kindly share the induction schedule.,HR
Is there any internal job posting this month?,HR
My salary has not been credited.,HR
What is the notice period for resignation?,HR
How do I apply for maternity leave?,HR
I need to update my bank details for salary.,HR
Kindly share the induction schedule.,HR
Is there a referral policy for hiring?,HR
Can I change my manager in the system?,HR
I want to participate in HR activities.,HR
I want to know the procedure for resignation.,HR
I would like to apply for a sick leave for tomorrow.,HR
Is there a PF deduction for contract employees?,HR
Please update my emergency contact number.,HR
Is there any internal job posting this month?,HR
